#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,car,class
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:32:50Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:33:00Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:33:10Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:33:20Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:33:30Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:33:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:33:50Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:34:00Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:34:10Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:34:20Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:34:30Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:34:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:34:50Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:35:00Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:35:10Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:35:20Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:35:30Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:35:40Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:35:50Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:36:00Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:36:10Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:36:20Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:36:30Z,0,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:36:40Z,3.01261629377093,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:36:50Z,3.82874250411987,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:37:00Z,2.46752632988824,bus_current,daybreak_motor_controller,Daybreak,motor_bus
,,0,2023-09-30T22:32:47.265422035Z,2023-09-30T23:32:47.265422035Z,2023-09-30T22:37:10Z,1.28613048129612,bus_current,daybreak_motor_controller,Daybreak,motor_bus
