Sequence,# Chromosomes,Parent Selection,# Generations,# Parents,# K,Crossover,Elitism,Mutation Type,Mutation %,Max Mutation,Fitness,Fitness Rate,3-A Average
1,12,sss,30,6,4,single_point,4,random,25,0.05,2260.819433,6.28005398,
2,12,sss,30,6,4,single_point,4,random,25,0.05,2260.819433,6.28005398,
3,12,sss,30,6,4,single_point,4,random,25,0.05,2233.463961,6.204066558,6.254724839
4,12,sss,30,6,4,single_point,4,random,25,0.1,2274.747654,6.318743483,
5,12,sss,30,6,4,single_point,4,random,25,0.1,2244.114804,6.233652234,
6,12,sss,30,6,4,single_point,4,random,25,0.1,2310.509059,6.418080718,6.323492145
7,12,sss,30,6,4,single_point,4,random,50,0.05,2230.268716,6.195190878,
8,12,sss,30,6,4,single_point,4,random,50,0.05,2204.487879,6.123577441,
9,12,sss,30,6,4,single_point,4,random,50,0.05,2118.764804,5.88545779,6.06807537
10,12,sss,30,6,4,single_point,4,random,50,0.1,2145.332138,5.95925594,
11,12,sss,30,6,4,single_point,4,random,50,0.1,2194.507293,6.095853592,
12,12,sss,30,6,4,single_point,4,random,50,0.1,2122.301145,5.895280958,5.983463497
13,12,sss,30,6,4,single_point,4,random,75,0.1,2171.339466,6.031498518,
14,12,sss,30,6,4,single_point,4,random,75,0.1,2145.110847,5.958641242,
15,12,sss,30,6,4,single_point,4,random,75,0.1,2184.865982,6.069072173,6.019737311
16,12,sss,30,6,4,single_point,4,random,75,0.05,2186.346599,6.073184996,
17,12,sss,30,6,4,single_point,4,random,75,0.05,2078.286835,5.773018986,
18,12,sss,30,6,4,single_point,4,random,75,0.05,2134.990655,5.930529596,5.925577859
19,24,sss,15,12,4,single_point,8,random,25,0.05,2210.020377,6.138945491,
20,24,sss,15,12,4,single_point,8,random,25,0.05,2260.819433,6.28005398,
21,24,sss,15,12,4,single_point,8,random,25,0.05,2312.276642,6.422990671,6.280663381
22,24,sss,15,12,4,single_point,8,random,25,0.15,2260.819433,6.28005398,
23,24,sss,15,12,4,single_point,8,random,25,0.15,2260.819433,6.28005398,
24,24,sss,15,12,4,single_point,8,random,25,0.15,2260.819433,6.28005398,6.28005398
25,24,sss,15,12,4,single_point,8,random,25,0.15,2224.800576,6.1800016,
26,24,sss,15,12,4,single_point,8,random,25,0.15,2260.966134,6.280461484,
27,24,sss,15,12,4,single_point,8,random,50,0.05,2357.704612,6.549179478,
28,24,sss,15,12,4,single_point,8,random,50,0.05,2334.19903,6.483886195,
29,24,sss,15,12,4,single_point,8,random,50,0.05,2382.969167,6.619358799,6.550808157
30,24,sss,15,12,4,single_point,8,random,50,0.15,2343.995693,6.511099146,
31,24,sss,15,12,4,single_point,8,random,50,0.15,2330.947895,6.474855265,
32,24,sss,15,12,4,single_point,8,random,50,0.15,2267.411131,6.298364254,6.428106222
