Sequence,# Chromosomes,Parent Selection,# Generations,# Parents,# K,Crossover,Elitism,Mutation Type,Mutation %,Max Mutation,Stopping Crit.,Fitness,Average
1,12,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2345.963526,
2,12,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2388.423313,
3,12,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2406.390632,2380.259157
4,24,tournament,15,12,5,single_point,8,random,50,0.05,reach_2450,2386.810334,
5,24,tournament,15,12,5,single_point,8,random,50,0.05,reach_2450,2402.769292,
6,24,tournament,15,12,5,single_point,8,random,50,0.05,reach_2450,2401.881636,2397.153754
7,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2466.836849,
8,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2404.128389,
9,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2466.836849,2445.934029
10,24,tournament,30,12,5,single_point,8,random,50,0.1,reach_2450,2466.836849,
11,24,tournament,30,12,5,single_point,8,random,50,0.1,reach_2450,2368.916066,
12,24,tournament,30,12,5,single_point,8,random,50,0.1,reach_2450,2426.693504,2420.815473
13,12,sss,30,12,4,single_point,8,random,50,0.05,reach_2450,2367.81976,
14,12,sss,30,12,4,single_point,8,random,50,0.05,reach_2450,2282.690624,
15,12,sss,30,12,4,single_point,8,random,50,0.05,reach_2450,2466.836849,2372.449078
16,24,sss,15,12,4,single_point,8,random,50,0.05,reach_2450,2341.332719,
17,24,sss,15,12,4,single_point,8,random,50,0.05,reach_2450,2350.994557,
18,24,sss,15,12,4,single_point,8,random,50,0.05,reach_2450,2398.817814,2363.71503
19,24,sss,30,12,4,single_point,8,random,50,0.05,reach_2450,2466.836849,
20,24,sss,30,12,4,single_point,8,random,50,0.05,reach_2450,2414.366811,
21,24,sss,30,12,4,single_point,8,random,50,0.05,reach_2450,2466.836849,2449.346836
22,24,sss,30,12,4,single_point,8,random,50,0.1,reach_2450,2458.531845,
23,24,sss,30,12,4,single_point,8,random,50,0.1,reach_2450,2438.670761,
24,24,sss,30,12,4,single_point,8,random,50,0.1,reach_2450,2414.635699,2437.279435
25,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2466.836849,
26,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2454.551935,
27,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2454.304795,2458.564526
28,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2466.836849,
29,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2403.612437,
30,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2463.446321,2444.631869
31,24,tournament,30,12,5,single_point,8,random,75,0.05,reach_2450,2333.664782,
32,24,tournament,30,12,5,single_point,8,random,75,0.05,reach_2450,2362.9824,
33,24,tournament,30,12,5,single_point,8,random,75,0.05,reach_2450,2340.086155,2345.577779
34,24,tournament,30,12,5,single_point,8,random,100,0.05,reach_2450,2338.487985,
35,24,tournament,30,12,5,single_point,8,random,100,0.05,reach_2450,2333.664782,
36,24,tournament,30,12,5,single_point,8,random,100,0.05,reach_2450,2333.664782,2335.272516
37,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2461.19196,
38,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2466.836849,
39,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2466.836849,2464.955219
40,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2466.656465,
41,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2466.836849,
42,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2466.836849,2466.776721
43,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2452.069913,
44,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2457.989919,
45,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2466.836849,2458.96556
46,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2466.836849,
47,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2416.564603,
48,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2427.528518,2436.976657
49,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2466.836849,
50,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2459.502958,
51,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2464.601374,2463.64706
52,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2466.836849,
53,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2466.836849,
54,24,tournament,30,12,5,single_point,8,random,25,0.05,reach_2450,2466.836849,2466.836849
55,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2378.885994,
56,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2461.465414,
57,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2433.726015,2424.692474
58,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2390.357594,
59,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2457.175806,
60,24,tournament,30,12,5,single_point,8,random,50,0.05,reach_2450,2466.836849,2438.123416
